pmid,year,pub_date,title,abstract,journal,journal_abbr,pub_type,first_author,first_affiliation,doi,scopus_eid,cited_by,sjr_quartile,sjr_quartile
2-s2.0-85139396429,2022,2022 Jul,THE DIGITAL ERA OF CRIMINAL JUSTICE AND ITS FEATURES DUE TO THE CURRENT DEVELOPMENT OF COMPUTER TECHNOLOGY AND ARTIFICIAL INTELLIGENCE,,Revista Juridica,,Article,Dolgopolov K.,"North-Caucasus Federal University, Stavropol, Russian Federation",10.26668/revistajur.2316-753X.v3i70.5704,2-s2.0-85139396429,7,Q3,Q3
2-s2.0-85134906290,2022,2022 Jun,Tunnel safety: Legal questions on the use of C-ITS and artificial intelligence,,Jusletter IT,,Article,Fleisch J.,"Universität Wien, Vienna, Austria",10.38023/F5E20CC2-C17A-4DCC-AF6A-44825EEEE5B6,2-s2.0-85134906290,0,Q3,Q3
2-s2.0-85149002972,2022,2022 Jun,ARTIFICIAL INTELLIGENCE AND THE RIGHTS AROUND THE CREATION AND THE IMAGE,,Actualidad Juridica Iberoamericana,,Article,Fernández F.R.,"Universitat Politècnica de València, Valencia, Spain",,2-s2.0-85149002972,5,Q3,Q3
2-s2.0-85149028378,2022,2022 Jun,THE REGULATION OF ARTIFICIAL INTELLIGENCE IN THE EUROPEAN UNION AND ITS IMPACT ON THE INSURANCE CONTRACT,,Actualidad Juridica Iberoamericana,,Article,Girgado Perandones P.,"Universitat Rovira i Virgili, Tarragona, Spain",,2-s2.0-85149028378,1,Q3,Q3
2-s2.0-85128830279,2022,2022 Jun,"Artificial Intelligence, Algorithms and Sentencing in Chinese Criminal Justice: Problems and Solutions",,Criminal Law Forum,,Article,Shi J.,"Law School, Chengdu, China",10.1007/s10609-022-09437-5,2-s2.0-85128830279,24,Q3,Q3
2-s2.0-85135215804,2022,2022 Jun,The ethics of Artificial Intelligence: An analysis of ethical frameworks disciplining AI in justice and other contexts of application,,Onati Socio Legal Series,,Article,Lupo G.,"Università degli Studi di Siena, Siena, Italy",10.35295/OSLS.IISL/0000-0000-0000-1273,2-s2.0-85135215804,10,Q3,Q3
2-s2.0-85133315127,2022,2022 May,GENDER EQUALITY IN THE CONTEXT OF DIGITALIZATION: THE EUROPEAN LEGAL EXPERIENCE,,Gosudarstvo I Pravo,,Article,Talapina E.V.,"Institute of State and Law, Russian Academy of Sciences, Moscow, Russian Federation",10.31857/S102694520016449-4,2-s2.0-85133315127,0,Q3,Q3
2-s2.0-85133399436,2022,2022 May,"M.I. Kleandrov. JUSTICE AND JUSTICE: monograph. Moscow: Norma: INFRA-M, 2022. – 364 pp.",,Gosudarstvo I Pravo,,Article,Fokov A.P.,"Russian State University of Justice, Moscow, Russian Federation",10.31857/S102694520019594-4,2-s2.0-85133399436,0,Q3,Q3
2-s2.0-85145478968,2022,2022 May,Artificial intelligence and the constitutional state,,Diritto Pubblico,,Article,Martire D.,"Sapienza Università di Roma, Rome, Italy",10.1438/104988,2-s2.0-85145478968,8,Q3,Q3
2-s2.0-85133651047,2022,2022 Apr,SLOWNESS OF THE JUDICIARY: PROPOSALS FOR THE USE OF ARTIFICIAL INTELLIGENCE TO CONTRIBUTE TO THE SPEED OF RECTIFICATION OF THE PROCEDURAL ASSESSMENT,,Revista Juridica,,Article,Rocha M.L.,"Universidade Federal Fluminense, Niteroi, Brazil",10.26668/revistajur.2316-753X.v2i69.5881,2-s2.0-85133651047,1,Q3,Q3
2-s2.0-85132022990,2022,2022 Mar,THE MAIN AREAS OF IMPROVING THE LEGAL REGULATION OF DISTANCE FORMS OF WORK OF SUBJECTS OF THE STATE SCIENTIFIC APPROVAL SYSTEM,,Gosudarstvo I Pravo,,Article,Sokolov A.Y.,"Institute of State and Law, Russian Academy of Sciences, Moscow, Russian Federation",10.31857/S102694520019162-9,2-s2.0-85132022990,0,Q3,Q3
2-s2.0-85128476798,2022,2022 Mar,THE USE OF ARTIFICIAL INTELLIGENCE IN THE ADMINISTRATION OF CRIMINAL JUSTICE: PROBLEMS AND PROSPECTS,,Gosudarstvo I Pravo,,Article,Malina M.A.,"Southern Federal University, Rostov-on-Don, Russian Federation",10.31857/S102694520018277-5,2-s2.0-85128476798,1,Q3,Q3
2-s2.0-85131694818,2022,2022 Mar,USE of BIG DATA ANALYTICS and SENSOR TECHNOLOGY in CONSUMER INSURANCE CONTEXT: LEGAL and PRACTICAL CHALLENGES,,Cambridge Law Journal,,Article,Soyer B.,"Swansea University, Swansea, United Kingdom",10.1017/S0008197322000010,2-s2.0-85131694818,15,Q3,Q3
2-s2.0-85194469558,2022,2022 Mar,ChatGPT Goes to Law School,,Journal of Legal Education,,Article,Choi J.H.,"University of Minnesota Law School, Minneapolis, United States",,2-s2.0-85194469558,173,Q3,Q3
2-s2.0-85125779464,2022,2022 Mar,The death of law: Another obituary,,Cambridge Law Journal,,Article,Lucy W.,"Durham Law School, Durham, United Kingdom",10.1017/S0008197321001021,2-s2.0-85125779464,15,Q3,Q3
2-s2.0-85149009138,2022,2022 Feb,ONLINE CONSUMERS VERSUS TARGETED ADVERTISING. BRIEF CONSIDERATIONS FROM ARTIFICIAL INTELLIGENCE AND RELATED TECHNOLOGIES,,Actualidad Juridica Iberoamericana,,Article,Cruz García M.,"Universidad de Cádiz, Cadiz, Spain",,2-s2.0-85149009138,4,Q3,Q3
2-s2.0-85149025018,2022,2022 Feb,ALGORITHMIC INFLUENCE AND IMMUTABILITY OF SMART CONTACTS: HOW DO THESE TECHNOLOGIES IMPACT ON CONTRACTUAL ASYMMETRY?,,Actualidad Juridica Iberoamericana,,Article,Danesi C.C.,"Universidad de Buenos Aires, Buenos Aires, Argentina",,2-s2.0-85149025018,0,Q3,Q3
2-s2.0-85148999719,2022,2022 Feb,BLOCKCHAIN AND CONTRACT LAW: CRITICAL ISSUES AND PROSPECTS,,Actualidad Juridica Iberoamericana,,Article,Iorio C.,"Università degli Studi di Macerata, Macerata, Italy",,2-s2.0-85148999719,0,Q3,Q3
2-s2.0-85131295135,2022,2022 Jan,ARTIFICIAL INTELLIGENCE AND LEGAL CHALLENGES,,Revista Opiniao Juridica,,Article,Mecaj S.E.,"University of Tirana, Tirana, Albania",10.12662/2447-6641oj.v20i34.p180-196.2022,2-s2.0-85131295135,7,Q3,Q3
2-s2.0-85143224460,2022,2022 Jan,TO THE QUESTION OF LEGAL REGULATION OF ARTIFICIAL INTELLIGENCE IN THE RUSSIAN FEDERATION (COMPARATIVE LEGAL ANALYSIS),,Gosudarstvo I Pravo,,Article,Ivanova E.S.,"Financial University under the Government of the Russian Federation, Moscow, Russian Federation",10.31857/S102694520022782-1,2-s2.0-85143224460,0,Q3,Q3
